,Unnamed: 0,achievement_points,active_spec,average_item_level,character_class,equipped_item_level,faction,gender,guild,id,last_login,level,name,race,realm
0,0,19345.0,Havoc,338.0,Demon Hunter,338.0,Alliance,Male,Heart of Redemption,178855007.0,1597629895000.0,120.0,Vipaddon,Night Elf,stormrage
1,1,2190.0,Fire,399.0,Mage,398.0,Alliance,Female,Heart of Redemption,178857457.0,1566918109000.0,120.0,Dumsterd,Night Elf,stormrage
2,2,21120.0,Windwalker,304.0,Monk,304.0,Alliance,Male,Heart of Redemption,178906815.0,1589856382000.0,120.0,Hyuga,Human,stormrage
3,3,9365.0,Havoc,400.0,Demon Hunter,399.0,Alliance,Female,Heart of Redemption,178910873.0,1585092923000.0,120.0,Youngsandwch,Night Elf,stormrage
4,4,2210.0,Windwalker,411.0,Monk,411.0,Alliance,Female,Heart of Redemption,178947384.0,1566434413000.0,120.0,Oldsandwch,Human,stormrage
5,5,25640.0,Retribution,451.0,Paladin,451.0,Alliance,Female,Heart of Redemption,179004526.0,1597106988000.0,120.0,Shalandaria,Draenei,stormrage
6,6,12240.0,Protection,416.0,Paladin,416.0,Alliance,Male,Heart of Redemption,179082138.0,1590427832000.0,120.0,Såmsón,Draenei,stormrage
7,7,12240.0,Enhancement,431.0,Shaman,431.0,Alliance,Female,Heart of Redemption,179082227.0,1590614866000.0,120.0,Räïnÿ,Draenei,stormrage
8,8,12240.0,Marksmanship,410.0,Hunter,410.0,Alliance,Female,Heart of Redemption,179082326.0,1590614916000.0,120.0,Awwhoney,Worgen,stormrage
9,9,14315.0,Havoc,445.0,Demon Hunter,445.0,Alliance,Female,Heart of Redemption,179114464.0,1591835034000.0,120.0,Löndon,Night Elf,stormrage
10,10,6785.0,Retribution,447.0,Paladin,447.0,Alliance,Male,Heart of Redemption,179170847.0,1592798800000.0,120.0,Sledgemasher,Human,stormrage
11,11,27010.0,Unholy,356.0,Death Knight,353.0,Alliance,Male,Heart of Redemption,179293682.0,1589266436000.0,120.0,Kaaos,Human,stormrage
12,12,31280.0,Havoc,419.0,Demon Hunter,419.0,Alliance,Female,Heart of Redemption,179387203.0,1599013660000.0,120.0,Nakeisha,Night Elf,stormrage
13,13,16090.0,Enhancement,424.0,Shaman,423.0,Alliance,Male,Heart of Redemption,179445658.0,1596145678000.0,120.0,Wheresmypita,Draenei,stormrage
14,14,17070.0,Holy,446.0,Priest,445.0,Alliance,Female,Heart of Redemption,179684706.0,1596852441000.0,120.0,Pennycillyn,Gnome,stormrage
15,15,18955.0,Affliction,420.0,Warlock,420.0,Alliance,Male,Heart of Redemption,179862362.0,1587326562000.0,120.0,Meangreén,Gnome,stormrage
16,16,19040.0,Outlaw,370.0,Rogue,370.0,Alliance,Male,Heart of Redemption,179906700.0,1596352278000.0,120.0,Wedsworth,Worgen,stormrage
17,17,14080.0,Protection,405.0,Warrior,405.0,Alliance,Female,Heart of Redemption,180010757.0,1599143567000.0,120.0,Rektxul,Draenei,stormrage
18,18,31280.0,Shadow,430.0,Priest,429.0,Alliance,Male,Heart of Redemption,180169779.0,1599013477000.0,120.0,Densky,Night Elf,stormrage
19,19,6260.0,Havoc,444.0,Demon Hunter,444.0,Alliance,Female,Heart of Redemption,180337118.0,1594269792000.0,120.0,Sylestereith,Night Elf,stormrage
20,20,16745.0,Guardian,450.0,Druid,450.0,Alliance,Female,Heart of Redemption,180364034.0,1597507402000.0,120.0,Atsyrch,Night Elf,stormrage
21,21,7305.0,Beast Mastery,437.0,Hunter,437.0,Alliance,Male,Heart of Redemption,180429850.0,1598758072000.0,120.0,Aotearoa,Draenei,stormrage
22,22,20090.0,Havoc,453.0,Demon Hunter,450.0,Alliance,Female,Peanut Gallery,180910915.0,1591403075000.0,120.0,Theorÿ,Night Elf,stormrage
23,23,9900.0,Mistweaver,442.0,Monk,442.0,Alliance,Female,Heart of Redemption,181211222.0,1581387790000.0,120.0,Agworialulu,Draenei,stormrage
24,24,11645.0,Restoration,423.0,Druid,422.0,Alliance,Female,The Great Adventure,186727335.0,1590046233000.0,120.0,Jinxzý,Night Elf,dalaran
25,25,5425.0,Holy,470.0,Priest,470.0,Alliance,Male,The Great Adventure,186738260.0,1597595848000.0,120.0,Wegone,Draenei,dalaran
26,26,1235.0,Havoc,402.0,Demon Hunter,400.0,Alliance,Female,The Great Adventure,186765350.0,1574208861000.0,120.0,Roserfel,Night Elf,dalaran
27,27,8935.0,Brewmaster,369.0,Monk,367.0,Alliance,Female,The Great Adventure,186847341.0,1591989958000.0,120.0,Micromist,Gnome,dalaran
28,28,11150.0,Balance,458.0,Druid,457.0,Alliance,Male,The Great Adventure,186946734.0,1590520236000.0,120.0,Turbowulf,Night Elf,dalaran
29,29,15195.0,Brewmaster,372.0,Monk,367.0,Alliance,Female,The Great Adventure,187037660.0,1593709269000.0,120.0,Kegkeg,Pandaren,dalaran
30,30,14015.0,Havoc,479.0,Demon Hunter,472.0,Alliance,Female,The Great Adventure,187092578.0,1599088415000.0,120.0,Abbtdh,Night Elf,dalaran
31,31,20120.0,Assassination,444.0,Rogue,443.0,Alliance,Male,The Great Adventure,187133941.0,1598583791000.0,120.0,Mitrá,Worgen,dalaran
32,32,22170.0,Elemental,293.0,Shaman,293.0,Alliance,Male,The Great Adventure,187198047.0,1593785480000.0,120.0,Biensham,Dark Iron Dwarf,dalaran
33,33,12795.0,Blood,469.0,Death Knight,468.0,Alliance,Male,The Great Adventure,187251736.0,1598374562000.0,120.0,Bananalamp,Night Elf,dalaran
34,34,2165.0,Holy,366.0,Priest,362.0,Alliance,Female,The Great Adventure,187270849.0,1569027787000.0,120.0,Candrellia,Night Elf,dalaran
